place_title,concentration_title,concentration_aliases,note
국립경찰박물관,경찰박물관,,집중률 API가 기관 접두 없이 표기한다
대학천 책방거리,종로6가 대학천 책방거리,,집중률 API가 행정동을 앞에 붙인다
익선동 한옥거리,익선동,,집중률 API는 동 이름만 쓴다
낙산묘각사,묘각사(서울),,사찰명 표기가 서로 다르다
청와대 앞길,,청와대,"집중률 API에 '청와대 앞길'과 '청와대'가 모두 있다. 정확 일치는 그대로 두고 '청와대'만 별칭으로 붙인다"
"창덕궁과 후원 [유네스코 세계유산]",,창덕궁,"사용자는 '창덕궁'이라고 하는데 저장소 제목과 집중률 명칭 모두 '창덕궁과 후원'이다. 접두 매칭으로 넓히면 창덕궁 낙선재·약다방 같은 부속 시설이 걸리므로 별칭으로 명시한다"
한국은행 화폐박물관,화폐박물관,,집중률 API가 기관 접두 없이 표기한다
디키디키,어린이 감각놀이터 디키디키,,집중률 API가 시설 종류를 앞에 붙인다
서울 신당동 박정희 가옥,박정희대통령가옥,,같은 사적의 표기가 서로 다르다
신당동 떡볶이타운,신당동 떡볶이 골목,,집중률 API는 '골목'으로 places는 '타운'으로 쓴다
